ID,meranaw_proverb,literal_translation_meranaw,english_translation,interpretation,augmented_interpretation,Theme
101,"So peman so Mimbisa na ino da den pangampong ko rimbang iyan sa kadar ka ini pangombaw niyan a kambi-bisai niyan ko 
misharip Alawiya a mini lemba a bansa sa polo aya Mindanao.","Giya peman a Mimbisa (Balo-i) na ino sominibay sa isa ka phangampong maka titingki 
ko lagid iyan sa kala a inged ka siran bo i kiya bembaran ko bangensa o Sharief Alauya a miya bembar a 
bangensa sa Mindanao.","Balo-i made itself a separate state (phangampong) because it was equal with the rest 
of the Phangampong in the sense that it claimed to be the only place whose people descended from 
Sharief Alauya spread all over Mindanao.","An assertion of Balo-i's legitimacy and equality among traditional political divisions (phangampong), backed by shared descent from Sharief Alauya, a 
revered Islamic figure.
→ Genealogical and political justification of autonomy or recognition.","This asserts Balo-i's legitimacy and equality, based on shared descent from a respected religious figure. → Genealogical and political justification of independence.",Argumentation
102,Mapiya anda ka shong na kalongkong ako ngka den.,Mapiya aki anda ka den phag-agaw ago bapiya antonaa den i sowaan ka na awid ako den a akal ka.,"Wherever you go, I will always be your problem or a thorn in your head.","A declaration of persistent opposition, rivalry, or unresolved tension.
→ Could be an expression of defiance or a grudge that follows someone.",This declares ongoing opposition or rivalry. → Could express defiance or a lasting grudge.,Argumentation
103,Benem-beneng a amo a kagiya siningaan na aya tangkap iyan on na pekha babayaan ta.,Mala i beneng a amo a mapasang i kathanos a kagiya siningaan na aya tangkap iyan on na ba pekha babaya-i.,"A girl puts on make-up and cosmetics to look like a monkey, expecting that I will fall in love 
with her because she believes I am drawn to her.","A sarcastic and harsh insult targeting someone perceived as trying too hard or inauthentic—mocking superficiality and mistaken assumptions about 
attraction.","A mocking insult for someone seen as trying too hard or being fake, criticizing shallowness and wrong ideas about what attracts people.",Argumentation
104,"Ba ta den pepenaga ko Amendiya ago so Ya, na raragandang ta pen ko kiya mbalawag o Ba ka amay bo ka impitern na Alip a tomi
-tindeg",Ba ta den aki sisiranga sa ngkanan a manga taw a o paka tanaa ngka na si bo si aki oto i mati-tindos kiran.,"While there are plenty of them, there is just one that is considerably superior to the others.","Among many, one stands out in excellence—implying quality over quantity, or the existence of a singularly distinguished person or thing.","One person or thing is outstanding among many, suggesting that quality is better than quantity, or highlighting a unique individual or item.",Argumentation
105,Ber-bereg a tontong a anda bo da mipinsor,Anda makandaw den a taw a da a phanargan iyan.,A wandering person who has no abode.,"A description of someone with no roots, identity, or place—possibly implying instability, aimlessness, or lack of social standing.","A description of someone without a stable background, identity, or place, suggesting they might be unstable, without direction, or lack social status.",Argumentation
106,Benar ka maito kon na kanengket a maidan.,"Mapiya maito so kala o kambobolawasan iyan ka maito a mama, na di ngka phanigorowa ka mabager a maongangen.","He is small, but terrible.",A compact yet powerful person—likely underestimated due to size or appearance but possessing strength or influence.,"A small but powerful person, likely underestimated because of their size or looks, but who has strength or influence.",Argumentation
107,Da leshaga so gadong na sobong a pirawakan.,Pekha babayaan ka so taw na dii ngka bo perawakan sa kagaan a kapatay niyan.,"You like the person, yet you're hoping for his early demise by praying and working for it.",A biting observation about hypocrisy or concealed ill intent—pretending affection while secretly wishing harm.,A sharp comment about hypocrisy or hidden bad intentions—pretending to be affectionate while secretly wanting to hurt someone.,Argumentation
108,Ba den mala so dalog a pekha lilid ko lapad a da' a kapadal iyan.,Baden miyaka selasela i lawas na da a bager odi na ongangen iyan.,He's basically a large person who lacks physical strength and intelligence.,A mocking remark toward someone who appears imposing but is weak and unintelligent—emphasizing that size means nothing without substance.,"A mocking comment directed at someone who seems impressive but is actually weak and unintelligent, stressing that physical size is meaningless without inner strength.",Argumentation
109,"Penggora-ok so pethad ka iniratan o ragat, na peseghad so bayanek ka pitharotosan o ig.",Dii maka perego so pagtaw ka piyalagoyan o olowan a da a sambatan iyan.,The people are crying because their leader left them.,"Acknowledges the emotional weight and impact of true leadership. The absence of a valued leader causes distress—suggesting genuine admiration or 
dependency.
→ Reflects on the vacuum of power and the importance of wise leaders.","Recognizes the emotional importance of good leadership. The loss of a respected leader causes sadness, showing true admiration or reliance on them. → Reflects on the void left by a leader and the need for wise ones.",Argumentation
110,Iponipon sa tiyan na dadapo-an sa likod – Mapiya sa ishangat na bakat sa ithalikod.,"Aden ko mga taw a igira a mindadarpa-i ngka na mapiya reka i adat-parangay ogaid na maka 
talikhod na dii ka niyan phapaka ito on ago pembinasaan ka niyan.","There are certain people who are so nice and friendly when in front of you, but when they meet 
others, they invent stories and defamation against you.","This addresses two-faced behavior, a key source of interpersonal conflict. The line exposes hypocrisy and betrayal, which can escalate tensions.
→ A call to be cautious of deceptive friendships that fuel disputes.","This is about insincere behavior, a major cause of conflict between people. The statement reveals hypocrisy and betrayal, which can worsen problems. → A warning to be careful of fake friendships that cause arguments.",Argumentation
111,Pangonotan so layag na malo bo kondaraan ka tomagenteng so kalat na an a maka mba-oman a phoon sa lalag iyan.,"Panama-namaran so ginawa na di bo tanto itaralo ka pethaman bo so bager na pekha sepok, 
na dii makasendit so taw ago aden ko mga lolot ka maka pendarasag.","While putting in maximum effort to achieve one's life objective, it must be regulated, otherwise 
one's physical and mental capacity and capability will be exhausted, resulting in repentance.","Overexertion without balance leads to burnout and regret. It’s a reminder to manage conflict or stress in life wisely, to avoid personal collapse.",Pushing oneself too hard without balance leads to exhaustion and regret. It's a reminder to handle conflict or stress wisely to avoid breaking down.,Conflict Resolution
112,Mabaya ta lomoya na menda ta kararasan.,"Mababaya ka sa rido, na di ngka khababayaan so onga niyan a mapait","You like trouble, but you hate and/or dislike its effects and consequences.","This criticizes those who provoke conflict but can’t handle its fallout.
→ A warning that if you initiate disputes, be ready to bear the consequences.","This criticizes people who start fights but can't deal with the results. → A warning that if you start arguments, you must be prepared for the consequences.",Conflict Resolution
113,Pipharasan so alam sa ka-adilan da thaman na mendod bo so parayasan ko khairan ko Sorga.,"Mapiya i tamok o taw ago so langowan a kasibisibiyan iyan na ba on den khataman ka so 
doniya na da a ba on kapipiya ginawa -sii khatoon ko Sorga.","The world is full of many good things, but all the things in Paradise are far better than those.","This is a spiritual reminder in the face of conflict or temptation, suggesting that peace lies in focusing on eternal values, not worldly desires.
→ Encourages inner peace and detachment to resolve worldly struggles.","This is a spiritual reminder during conflict, suggesting that peace comes from focusing on spiritual values, not things of this world. → Encourages inner peace and not being attached to worldly things to solve problems.",Conflict Resolution
114,Betad o kopor a taw a igira kapa-okan na pendi-lilang sa lalag ka an di kasi-sipati.,So makanakanen a mama na igira miya semo den ko ramoding on o babay na mbaram-barang den a ndalinan iyan.,An angry person who was full of blame attempted everything he could to get rid of it.,"This reflects someone overwhelmed by anger and guilt, trying desperately to escape it.
→ Inner conflict can be resolved only by confronting, not avoiding, blame.","This shows someone consumed by anger and guilt, trying hard to run away from it. → Inner struggle can only be solved by facing responsibility, not avoiding it.",Conflict Resolution
115,"Ino maolad so gi ka ogarinan a menda, na ino landap so tilad ka tepasan a mapa-ok.",Ino madakel so babay ka o maka mbelag ta na phamamili ako ron sa petpasan aken mangaroma,"When divorced or separated, there are several options for women.","Acknowledges agency and resilience in women post-conflict. Rather than being ruined, they still have choices.
→ A progressive take on recovery and empowerment after relationship disputes.",Recognizes women's strength and ability to make choices after conflict. They still have options instead of being destroyed by the situation. → A forward-thinking view on healing and empowerment after relationship problems.,Conflict Resolution
116,"Mabaya so pogapok ka phaka bantay sa orog, na kagiya ka-iratan na miyaka ndarokhogan.","Miya babaya so babay ka kagiya miyaka ilay sa mala a tamok, na kagiya malngan so tamok na miyaka kipes bo.","The woman is delighted by her wealth, but when it is wasted and drained, she mourns and 
repents.","This shows how attachment to material wealth can lead to sorrow when it disappears.
→ Emphasizes values beyond money as a way to resolve inner conflict.
",This shows how being too attached to money can cause sadness when it's lost. → Emphasizes that values other than money help resolve inner struggles.,Conflict Resolution
117,Kaningkir a khasowa a khabayaan ta so taw na di ta niyan khiyogan.,Ba ta on den miya taman a di ta niyan bo ita-tangkap,"How sad is the time I spent for her, only to discover that she doesn’t love me.","A personal reflection on emotional disappointment and unrequited love, leading to sorrow.
→ Highlights the pain of misplaced efforts, but also the beginning of emotional closure.","A personal thought on sadness from emotional disappointment and one-sided love. → Highlights the pain of wasted effort, but also the start of moving on.",Conflict Resolution
118,Na sa taw a di ako ron na ino kon o di kami ay mambetad aken.,Ino o maka mbelag ta ba ako ay phatay,Will I die if I file for divorce?,"This rhetorical question challenges the fear and stigma surrounding divorce.
→ An empowering statement that hints at liberation over suffering.",This question challenges the fear and shame around divorce. → A powerful statement that suggests freedom is better than suffering.,Conflict Resolution
119,Marasay si pengganat na lebi si pengganatan,Mara-rata a ginawa o miyaki mbelag na lebi pen so ini mbelag,"Divorce is difficult for the person divorcing, and it is even more difficult for the divorced 
woman","Acknowledges the emotional and social toll of divorce, especially on women, who often face harsher judgment.
→ Urges empathy and fair treatment in conflict resolution.","Recognizes the emotional and social pain of divorce, especially for women, who often face more criticism. → Urges understanding and fair treatment when solving conflicts.",Conflict Resolution
120,Ino ko tatanora ka an mata-taritib na o peman o nggokta na gomigomin ta baden.,"Tataritiben aken so galbek ka an mapiya, na kagiya dii ngka nggoketen na gons-gonsengen ta baden","I make sure everything is in the right place, but if you like it to be destroyed, we can put it all in a 
mess.","This is a warning wrapped in sarcasm—someone offers order but is ready to match chaos if provoked.
→ Reveals the fragile balance between peacekeeping and retaliation.",This is a sarcastic warning—someone offers to keep peace but is ready to fight back if pushed. → Reveals the delicate line between keeping peace and fighting back.,Conflict Resolution
121,Miyaka toman ako sa da' ko tanto karondan ka o romiyondan ako na miya inalang.,"Miyaka toman ako sa da ako sangkop odi na pamangped ko galbek o isa a taw a marata ka o 
somiyangkop ako odi na miyamangped ako ron na imanto na miya alang-alang odi na mini liliya ko","To avoid being left behind in the middle of nowhere, I took the right path.","Choosing peace, wisdom, or faith to avoid despair or abandonment in life’s conflicts.
→ A personal decision toward resolution and direction.","Choosing peace, wisdom, or faith to avoid sadness or feeling alone in life's struggles. → A personal choice for finding solutions and purpose.",Conflict Resolution
122,"Maolay bo so gadong na magendod sa ngganatan, na maronot so rambayong na mbaling sa tharikhodan.","Malokes aki so taw na khasoy sa Akhirat, na marombay bo si ginawa na mbaling sa Yaumul Qiyamah.",When we get old. Akhirat will be our end.,"A final spiritual reflection—this life’s conflicts are temporary, and the afterlife is the real conclusion.
→ Encourages forgiveness and long-term perspective in resolving disputes.","A final spiritual thought—life's conflicts are temporary, and the afterlife is the true end. → Encourages forgiving others and thinking about the long-term when solving problems.",Conflict Resolution
123,"So olaola o taw na aya ko den parangay na sa adat o ped aken na aya ko den tabi-at -aya mataan-benar na o lebada ka a wator na 
badali ngka sa dodol ka mini pharowaa ka.",Sa parangay o ped aken na aya ko den parangay ogaid na so karata a adat o mipendolona aken na di aken on imbadal.,"I treat others the same way he treats me, but I have repaid him nicely.","It encourages kindness even in the face of unfairness—a moral lesson in grace, forgiveness, and not repaying evil with evil.","It encourages being kind even when treated unfairly—a lesson in grace, forgiveness, and not seeking revenge.","Moral Teaching and Self
-Reflection"
124,"Ba den mata-o mohi na di matao molahi, na ba den mata-o manik si di mata-o panikan.",Aya bo katawan iyan na giya bo a ginawa niyan-lagid o kapamemegay a mababaya began na di matao mamemegay,A self-serving person only understands how to receive and has no desire to contribute.,"A warning against selfishness and greed, highlighting the imbalance it creates in relationships and society.","A warning against being selfish and greedy, showing how it causes problems in relationships and society.","Moral Teaching and Self
-Reflection"
125,Makro so badan ko na paralo so limo ko.,"Marata ako reka, na mapiya reka so pangalimo aken reka","You may think it's horrible, but you appreciate and enjoy what I give you.",Critiques hypocrisy—people pretend to dislike something but still benefit from it. A call for honesty and gratitude.,Criticizes hypocrisy—people pretend to hate something but still use it for their advantage. A call for honesty and being thankful.,"Moral Teaching and Self
-Reflection"
126,Diden methow so aroy o ba da’a bala iyan.,Langowan a dii manggolaola na pephangangatagen.,"Every condition, whether favorable or unfavorable, has an inverse, or opposing, effect.","A philosophical reminder that life is full of dualities—joy and sorrow, good and bad—so one must learn to be resilient and balanced.","A philosophical reminder that life has both good and bad, so we must learn to be strong and balanced.","Moral Teaching and Self
-Reflection"
127,So sagipak a narra na margen katimbangan o sabekes o rasa-as,"So taw a babalbegen iyan a ginawa niyan na thomo a di so miyaka dakdakel a mga taw a isa ka mbina- bataa a 
palaya papar.",A single powerful man is preferable to a group of weak men.,"Highlights the value of strength, leadership, and competence over quantity. Not all groups are effective without strong character.","Emphasizes that strength, leadership, and ability are more valuable than just having a large number of people. Groups need strong character to be effective.","Moral Teaching and Self
-Reflection"
128,"Mapay ka man so tod na di ta kaphanamanan, aya pen o ba kayo a tangked a maglangit.",Mapay ka man so gantong na an a kipantag iyan aya pen o ba mapiya a taw.,Nobody can deny that the other is valuable or useful—how much more so for a royal?,"Everyone has value, and if ordinary people are valuable, those in high positions should be even more responsible and worthy.","Everyone is important, and if regular people are valuable, then leaders should be even more responsible and deserving of their position.","Moral Teaching and Self
-Reflection"
129,So sanggibo a ranon na piyatay o tadman.,"So satiman a miya nggolaola a marata o ped a taw sii reka na kiya daan den sa kipantag so tanto a 
madakel a mini ogop iyan reka a mapiya.",A single mistake or misbehavior can erase thousands of good deeds.,A strong moral warning about consistency and reputation—it takes years to build trust and one wrong act to destroy it.,"A strong warning about being consistent and protecting your reputation—it takes a long time to earn trust, but one bad action can ruin it.","Moral Teaching and Self
-Reflection"
130,"Di ngka den iinama so binagol a ped ka, da bo a gola ka a mipshiyantan ka.","Di ngka den kasi-sigin so mapiya a kata-ta'ama o isa a taw ko betad iyan a mapiya ka matag on 
penggaget a rareb ka ka da bo a rek ka on",Don't be envious of someone else's comfortable life because you cannot have what he already has.,Teaches contentment and realism. Envy only brings suffering; it’s better to focus on your own path.,Teaches being satisfied with what you have and being realistic. Envy only causes pain; it's better to focus on your own life.,"Moral Teaching and Self
-Reflection"
131,Di ka lengan ginawa na sama ka on ginawa.,"Igira a piyaka mbaya-baya ka o ped ka na lamba-i ngka on so ped ka, di ngka pelenga-lengana.","When someone offers you anything, don't be rude; take what you need and leave the rest to 
someone else.","Promotes humility, politeness, and fairness—don’t be greedy or disrespectful when receiving gifts or blessings.","Encourages being humble, polite, and fair—don't be greedy or rude when receiving gifts or good fortune.","Moral Teaching and Self
-Reflection"
132,Di alongan o bangensa so alongan o pengga-os odi na… Di mosim o bangensa so mosim o tatamoken.,"Da bali o bangensa ka sa bo sa maka babalbegen o da a tamok ka a kaphanarigan ka 
na mapiya i bangensa ngka na di ngka bo khasanaan.","Power and means are more important than blood — you can't rely on kinship if you don't 
have them",A hard truth about self-sufficiency—family ties alone won’t save you if you lack the resources or skills to support yourself.,A difficult truth about being independent—family connections alone won't help if you don't have the means or skills to take care of yourself.,"Moral Teaching and Self
-Reflection"
133,Ola-ola lalag ta a ron ta mada’ ma-aden betad a ongangen ta a ron ta matay-mawiyag.,Sa den sa okitokit o taw marata antaa ka mapiya na ron ka den khapantagi a kapatay.,"Life is a game, but it’s you who must say, whether a cheat or sportsmanship, it’s you who 
must play and meet your end.","Life is full of choices, and you are responsible for the ethics of your actions—whether you live honestly or deceitfully, you must face the consequences.","Life is full of choices, and you're responsible for whether you act morally—whether you live honestly or dishonestly, you'll face the results.","Moral Teaching and Self
-Reflection"
134,"An a linang bolawan a dii kapag-inaman sa iman a samporna a maka dorat i lalag, na an matag sapo a maregen a limbanan ka di 
ta niyan ndoraten.","Aden a mapiya a taw a o di ngka ka-iktiyari na phaka binasa reka na aden peman a di tanto 
mapiya a taw a margen o ba ta kalipati ka di ta niyan phag-akalan.","One may be noble, descending from a royal family, but ignoble in character—the other may be 
ordinary, but truthful and honest.","Challenges class bias—true nobility comes from character, not bloodline. A call to value honesty and humility.","Challenges prejudice based on social class—true nobility comes from good character, not family background. A call to value honesty and being humble.","Moral Teaching and Self
-Reflection"
135,Porong ka porom-potal ka o di ka porom-potal na porom-potalen ka taw.,Phiyapiya ka sa parangay ka o di ka phiyapiya na mebonoon ka a taw.,"Do your best because if you don't, someone will put you in a sack or murder you.","An exaggerated but powerful warning—laziness or mediocrity can be dangerous, especially in competitive or harsh environments.","An exaggerated but strong warning—being lazy or average can be very dangerous, especially in tough situations.","Moral Teaching and Self
-Reflection"
136,"So di ta iga-gaid na ron kalamay so gadong, na so ita-tangked ta na ron so Allahu a’lam (maana pagaranganan).","So taw a di itatapi-an na takinoba a aya mapiya, na so aya katawi ta on na mapiya na aya bes marata.","What we don't expect to be good is good, but what we think is good is bad.","Urges caution and open-mindedness—appearances deceive, and judgment should be based on truth, not assumptions.","Urges being careful and open-minded—things aren't always what they seem, and we should judge based on facts, not guesses.","Moral Teaching and Self
-Reflection"
137,Matanog i dalpek na korang i palalagoy,"Berak a talpak den a ngari iyan, ogaid na da bo a mapenggalbek odi na khapasad iyan","Good in speaking, but not so much at doing or producing","Words are easy, but actions are hard. True character is shown through deeds, not speeches. A lesson in walking the talk.","It's easy to say things, but it's hard to do them. What you do shows your true character, not what you say. A lesson in backing up your words.","Moral Teaching and Self
-Reflection"
138,Nggoro-goro ka goro ka o ari o minggoro so andang a goro ami na aya pen di penggoro so goro o morit ami.,Di ngka shana-i so katao ngka ka o ari pephaganad den so goro na seka pen i di toma-taros mangnal a matag morit,"Search for knowledge from the cradle to the grave. Don’t give up learning. You may have 
learned something, but there are still many more things you ought to learn and discover.","Lifelong learning is a moral duty. No matter how much you know, there’s always more to discover. Stay humble and curious.","Learning throughout your life is important. No matter how much you know, there's always more to learn. Stay humble and curious.","Moral Teaching and Self
-Reflection"
139,"So paraman o ganding na laksa man ka ona na insarati ngka mona ka tabiya ko kha-ori ka toba ako maori na asar a towis ako ko
phamaginapasaan.","So matao ko katharo na mawatan den a kao-ona niyan, ogaid na di niyan pipikira o ba mao-ona 
den ka aden a mao-ori a maka lelebi a di sekaniyan","The knowledgeable have always been first in line, but never pretend to be first, for there may be 
someone ahead of you who is more knowledgeable.","Knowledge earns respect, but pretending to be wise is dangerous. Be humble—someone always knows more than you.","Being knowledgeable earns respect, but pretending to be wise is dangerous. Be humble—someone always knows more than you do.","Moral Teaching and Self
-Reflection"
140,"Maka pira somagad i maka rampana sa dar na ba ngka den pethongkopa sa di ron kaseban a taw ka aya man ari a darem na ba an a 
mata-o ron inonta so Allah.",Mapiya i dii kakha rata a ginawa ngka na rarareba ngka baden -di ngka den pephamanothola.,"The more shattered your heart is, the more patience you will need to accept your feelings.",Emotional pain requires deep patience and self-compassion. Healing is not quick—acceptance is part of growth.,"Healing from emotional pain takes a lot of patience and kindness towards yourself. It's a slow process, and accepting it is part of growing.","Moral Teaching and Self
-Reflection"
141,Minsan oray bolawan i oran sa di ta inged na mapag-iroy ta bo so tarintik sa ngganatan.,Mapiya pen bolawan den a pekha sokat ko kena o ba ta inged na aden bo a masa a ikhadali ta so tithow a inged ta.,"There's no place like home, no matter how wealthy your life may be in a faraway location.","No matter how far or successful you go, home holds a special, irreplaceable value. It’s a source of identity and comfort.","No matter how successful you become or how far you travel, your home has a unique and important value. It's where you find your identity and comfort.","Moral Teaching and Self
-Reflection"
142,"O da bo so kibolog na mosala mendod ako, na o da so kitaloga na tobaw mbalingan ako.",O da ko mimbologan so katharo odi na nggolaola na di aken den nggolaolaan –mataan a so kasendit na sii sa oriyan,"Repentance is always the last stage in the process – I would not have proposed it if I had 
known its result.",Sometimes we regret actions only after consequences unfold. It's a lesson in foresight and wise decision-making.,Sometimes we only regret what we did after we see the results. It's a lesson in thinking ahead and making wise choices.,"Moral Teaching and Self
-Reflection"
143,"Parabowat o tapar so gandawali o lalag, na galigala gomampang so malayat a ongangen a gonday o kandiyandi, na sa di panday ko 
langka na mitarobang ko korang na sa peman sa malim on na aya matindos-rabaw.","Paramanis o kalilimod so kapkha pangka o pitharo, na pekhi-ren ko nama ago so maratabat so 
ongangen, ogaid na sa di maka sowa nggedageda na khi-shosong, na sa peman sa masowa iyan so 
kapamlalag na aya kha-paratiyayaan.","The beauty of talking is during an argument, and wisdom is the remedy for emotional pride, 
those who may not reflect and control their temper have done wrong, but those who may successfully 
manage their temper will prosper.",Wisdom in speech and control in anger are rare and powerful virtues. Those who master this find peace and success.,Being wise in what you say and controlling your anger are rare and powerful good qualities. People who do this find peace and success.,"Moral Teaching and Self
-Reflection"
144,"Sa alongan imanto na mimbinentay ko masa so daradat o timbangan ka mapened so ilmo a di so salakaw ron, na o ndaya so 
kata-o na phangarongka so sigay a pethimbawaw ko palaw na melangkap ko doniya, na o di manggolaola na ba den karam a intan.","Imanto aki na kiya tokawan a aya bo a mala i kipantag na so 'ilmo a di so mapiya antonaa na 
miyaka ngen imanto si aki aya (so miyaka sowa), na o maka ndaya so manga taw a ndodon so 'ilmo 
na ipthagompiya o betad-mataan den anan a benar.",Learning and applying knowledge in real-life can lead to greater development and success.,Knowledge alone is not enough—application is key to real progress and self-improvement.,Just having knowledge isn't enough—using it is essential for real progress and becoming a better person.,"Moral Teaching and Self
-Reflection"
145,Di mariray so Butig ka aya mona tepadan o lalaog a da mada na di maya' so Unayan ka mona kalontanaan o tolos a da marendan.,Bantogan a Butig odi na giya Unayan a siran i paka poon o bangensa.,Butig or Unayan takes pride in being the source of the Meranaw nation.,This reflects cultural pride and a call to honor one's roots. It's a moral reminder of ancestry and heritage.,This shows cultural pride and encourages honoring where you come from. It's a moral reminder of your family history and traditions.,"Moral Teaching and Self
-Reflection"
146,"Inako mona sebang na alongan romiyanti na mimbinentay so sigay ko dalinding o sebangan na miya magayaw-ayaw sa 
katabilangan sa ig na miya rending a kilat na miyag-oraday lena a 
saleg iyan ko langit nago man a miya palang, na o tindeg so paayaw na mendod sa mariwada so pephagaolan a ig na somebang 
so alongan a pamoreg o doniya.","Sii ko paganay na aya katao ta ko taw na khabaloy a ikapiya o inged, nago ma-aden so 
marata ko sabala sa inged na lomiya-olad ko inged so kasa-sansara, na o pagtiga na khada' so margen 
a kapapantagan a magegedam na meliwanag so inged.","At first glance, the populace believed he would bring kindness and triumph, but he brought ruin 
instead. If someone came up and led, he would perish from the scene, and everything would 
return to normal.","Leaders can deceive through appearances. Real leadership shows in results, not promises. Be wary of false messiahs.","Leaders can trick people with how they look. True leadership is shown by what they achieve, not what they promise. Be careful of fake leaders.","Moral Teaching and Self
-Reflection/Leadership"
147,"Ikararanon aken so dimalapang sa langit ka mirogong ka magondas na da ontawar ko laod ka miya pampang ko palaw a 
sisigayan o senang a alongan a maranti na dii kaphandapatan ka so maomag sa sebangan na aya katotongkopan ko iplimbo a 
ranon a i-aayoong keneg ko paka minanad o ig a ipephagayaw-ayaw o lalanen a madakel.","Kanogon iyan ka miyaka talingoma so aya katao ta on na ba sii phoon ko langit, na mala a 
totholan on na lagid o ini sedep a sisip a miya da’ so totholan, na dii mapamimikiran ka sii bo miya 
ribon ko andang a taw ko inged a iba-bangkit ko madakel a taw.","It is unfortunate that a shopworn angel has gained public admiration, but he vanished from view only 
to realize that he had merged with the former. It is inconvenient.","Fame based on illusion fades fast. When someone tries to imitate another’s greatness, they often lose their own identity.","Fame that's based on lies doesn't last long. When someone tries to copy another person's greatness, they often lose who they are.","Moral Teaching and Self
-Reflection"
148,"Ino a miya neg ko a kikilaten so palaw na raragandangen a ig na mimbinentay so sirig ko dalinding o sebangan na maka phamagikata a 
kini songgod o linog na aya bo kekenegen a gandamato damdag, na so sapangkat ko palaw na da on dagoong so ig a 
giyoto so mapantaw a aya katotongkopan ko bitoon a mishangkad, na so kini pantaw niyan ko bakolod ko sendigan na somibang si 
karani, na o maka pagayaga a dowa oto a saleg na odi tindeg so gaos a panggaga daromimbang na baden matag alongan a da on 
so rangka niyan a pangorandig o alam.","Lagid o pekha gedam aken a aden a dii kambabantaanan ko tomampar sa sebangan a 
marata a ikha-binasa o betad na ino aya bo a pephaka gedam on na sekitano bo na san ko ped a 
inged na kena o ba lagid aya -baanda sabap sa so aden a taw kiran a mapephamitoon a mapiya i 
kandato na o maka talingoma na meliwanag sharoman so inged, na odi maka pamagogopa so 
manga papasang na giyaya den i betad a phagilain ta a pephaka liwanag so masa ogaid na da a tanto a kareg iyan.","We've heard that tragedy is coming from the east, so why not from the west? Perhaps there is a 
good leader in that place who is well-liked by the populace, and if we happen to have one, our place 
will shine once more.If we don't form a group of people who work 
together, we'll keep seeing our lives as bright and pleasant, but we won't make any progress.","Leadership renewal requires unity and collective effort. Without cooperation, even with potential, progress stalls.","Changing leaders requires people to be united and work together. Without cooperation, progress stops, even if there's potential for it.","Moral Teaching and Self
-Reflection/Leadership"
149,"Liwanag ka Bembaran a miyathay pimbaratan ka sa alongan imanto na tanan kiya borodan a pasandalan a baning so 
mimbala-bala kampong na di ta kapenggalawan ka tiyaladay a sonor na di ta khi-rido sa dar ka so ira-ragandang ko ig na 
phagimalaw kargan, na kapthomangkedan ta ka manginon o malinding ko bagambangan o kadeg na di kawan o mandadas ka 
mapiya maka labo ko bagambangan o reges na di ta ipangangandam ka mala a sarig ta on ka ndodon so paninindeg.","Paka pipiya o inged ago so pagtaw ron a ginawa iran ko oriyan o miyathay den ay na masa-sansara ka imanto na 
miyamaka talingoma so manga taw ko piyaginged-ingdan a manga ala i 
sambatan ogaid na di ta bo peman katawan ka so mapiya kiran na di ta kapthantowan mogop
inangin na sekaniyan na mapiya mokit sa kamargenan na di niyan ishangkop so kamapiyaan ka manenema on so tindeg","I wish you all the best for my city and its people! Following a lengthier period of disorder 
and insecurity, some of our citizens from various sections of the country are striving for political 
leadership. Although some of them are nice people who will not gamble with other people's well-being,
they lack the financial wherewithal to do so.",Political leadership should be based not only on character but also resources. Good intentions aren't enough without capability.,Leaders in politics should have good character and the resources to get things done. Good intentions aren't enough without the ability to act.,"Moral Teaching and Self
-Reflection/Leadership"
150,"So alongan pelangkap a pethimbawaw ko palaw na mala a kawan ta on ka oba baden di langkap so saleg o sindaw niyan ka aya 
pekhaneg aken na di phagayon-ayonan a kashong a taw ko langit na di kaphandapatan ka oba lalan so dapat na nogon o 
pekharendam a da sampay sa kadiyat ka ba den miya sansara.","Aden a taw a dii kamba-bantaanan a penggemaw na malo ta bo ika-awan ka oba baden di peman maka nggagayan so 
kapiya niyan sabap sa dii phapawalaan o andamanaya i okit a kata-ayon, na dii ta dii mapamimikiran ka oba di maka 
taros na miya binasa peman so okit ka miya taman so pagtaw ko kapha-pawala sa tindeg","Someone appears in the open, willing to serve the people, but no one can guarantee that they will 
join the race because the people do not yet have unanimity of support.","Even sincere candidates need unified support. A fragmented society fails to uplift new leaders, delaying change.","Even honest people running for office need everyone to support them. A divided society can't bring up new leaders, which slows down change.","Moral Teaching and Self
-Reflection"
151,"Nako kanda-darola o bago a songgod a ig na tatarimaan iyan sa rek iyan so bantogan nago matkaw a lalis a salongan sa impitan 
na ndigayan mimbalingan ko asal a panagayana a riyawat a iniring a poon a peshayanan a kapephananadman so asal a tanda 
iyan.","Gowani ko paganay den a ndato so bago a mindato na aden a isa kiran a dii niyan tharoon a 
sekaniyan bo i mapiya kiran -nago mitalemba so masa a margen a tiyoba, na miya panongganoy 
peman o pagtaw so miyanga oona a manga pipiya i kandato a manga taw.","When the new leaders first held power, one of them was assumed to be honorable, but when 
disaster struck, the people thought of the courage and wisdom of the previous leaders in protecting 
the people and the community","In times of crisis, people reflect on the wisdom and courage of past leaders. It teaches us to choose leaders carefully, based not on image but on proven 
integrity.","When there are problems, people think about how wise and brave past leaders were. It teaches us to choose leaders carefully, based on their true honesty, not just their image.","Moral Teaching and Self
-Reflection"
